album_type,artists,available_markets,external_urls,href,id,images,name,release_date,release_date_precision,total_tracks,type,uri,reduced_title,valence_list,energy_list,genres
album,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0LyfQWJT6nXafLPZqxe9Of'}, 'href': 'https://api.spotify.com/v1/artists/0LyfQWJT6nXafLPZqxe9Of', 'id': '0LyfQWJT6nXafLPZqxe9Of', 'name': 'Various Artists', 'type': 'artist', 'uri': 'spotify:artist:0LyfQWJT6nXafLPZqxe9Of'}]","['AD', 'AE', 'AL', 'AR', 'AT', 'AU', 'BA', 'BE', 'BG', 'BH', 'BO', 'BR', 'BY', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HR', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'KZ', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MD', 'ME', 'MK', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'RS', 'RU', 'SA', 'SE', 'SG', 'SI', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'UA', 'US', 'UY', 'VN', 'XK', 'ZA']",{'spotify': 'https://open.spotify.com/album/4M07HWIlZr7zoXoxDHR5mz'},https://api.spotify.com/v1/albums/4M07HWIlZr7zoXoxDHR5mz,4M07HWIlZr7zoXoxDHR5mz,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2736ff59d18c018a2845758deed', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e026ff59d18c018a2845758deed', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048516ff59d18c018a2845758deed', 'width': 64}]",Frozen 2 (Original Motion Picture Soundtrack/Deluxe Edition),2019-11-15,day,46,album,spotify:album:4M07HWIlZr7zoXoxDHR5mz,Frozen 2 ,"[0.195, 0.299, 0.274, 0.434, 0.311, 0.293, 0.174, 0.146, 0.313, 0.106, 0.294, 0.319, 0.637, 0.249, 0.765, 0.446, 0.0403, 0.189, 0.118, 0.422, 0, 0.243, 0.124, 0.0399, 0.185, 0.148, 0.217, 0.189, 0.0333, 0.195, 0.0355, 0.0315, 0.0323, 0.0354, 0.0306, 0.0299, 0.0341, 0.0354, 0.0378, 0.0342, 0.0331, 0.073, 0.0384, 0.105, 0.0372, 0.127]","[0.204, 0.543, 0.405, 0.326, 0.0885, 0.478, 0.429, 0.119, 0.828, 0.19, 0.598, 0.142, 0.424, 0.305, 0.435, 0.5, 0.18, 0.462, 0.487, 0.142, 0.0408, 0.349, 0.321, 0.073, 0.715, 0.202, 0.621, 0.307, 0.0567, 0.0214, 0.219, 0.065, 0.116, 0.0515, 0.257, 0.0129, 0.0292, 0.092, 0.46, 0.113, 0.0198, 0.651, 0.332, 0.0634, 0.0323, 0.138]","['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical']"
compilation,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0LyfQWJT6nXafLPZqxe9Of'}, 'href': 'https://api.spotify.com/v1/artists/0LyfQWJT6nXafLPZqxe9Of', 'id': '0LyfQWJT6nXafLPZqxe9Of', 'name': 'Various Artists', 'type': 'artist', 'uri': 'spotify:artist:0LyfQWJT6nXafLPZqxe9Of'}]","['AE', 'AR', 'AU', 'BH', 'BO', 'BR', 'CA', 'CL', 'CO', 'CR', 'DO', 'DZ', 'EC', 'EG', 'GB', 'GT', 'HN', 'IE', 'IL', 'JO', 'KW', 'LB', 'MA', 'MX', 'NI', 'NZ', 'OM', 'PA', 'PE', 'PS', 'PY', 'QA', 'SA', 'SV', 'TN', 'TR', 'US', 'UY', 'ZA']",{'spotify': 'https://open.spotify.com/album/6pZj4nvx6lV3ulIK3BSjvs'},https://api.spotify.com/v1/albums/6pZj4nvx6lV3ulIK3BSjvs,6pZj4nvx6lV3ulIK3BSjvs,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2733505183cc0e24d2f7560174a', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e023505183cc0e24d2f7560174a', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048513505183cc0e24d2f7560174a', 'width': 64}]",Moana (Original Motion Picture Soundtrack/Deluxe Edition),2016-11-18,day,59,album,spotify:album:6pZj4nvx6lV3ulIK3BSjvs,Moana ,"[0.188, 0.18, 0.748, 0.108, 0.391, 0.231, 0.672, 0.574, 0.897, 0.232, 0.0946, 0.122, 0.148, 0.393, 0.138, 0.0357, 0.295, 0.0317, 0.0352, 0.0345, 0.0394, 0.102, 0.192, 0.31, 0.176, 0.0569, 0.436, 0.0376, 0.145, 0.0268, 0.0646, 0.0397, 0.158, 0.0373, 0.0786, 0.0776, 0.173, 0.0437, 0.0711, 0.223, 0.366, 0.581, 0.263, 0.301, 0.749, 0.408, 0.408, 0.121, 0.434, 0.0299]","[0.405, 0.203, 0.656, 0.307, 0.578, 0.449, 0.745, 0.68, 0.804, 0.205, 0.145, 0.839, 0.54, 0.432, 0.571, 0.0763, 0.102, 0.069, 0.156, 0.112, 0.0398, 0.226, 0.879, 0.422, 0.203, 0.238, 0.707, 0.00846, 0.901, 0.0427, 0.05, 0.075, 0.674, 0.0297, 0.838, 0.139, 0.818, 0.645, 0.396, 0.624, 0.624, 0.466, 0.347, 0.548, 0.649, 0.56, 0.701, 0.61, 0.1, 0.0269]","['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical']"
compilation,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0LyfQWJT6nXafLPZqxe9Of'}, 'href': 'https://api.spotify.com/v1/artists/0LyfQWJT6nXafLPZqxe9Of', 'id': '0LyfQWJT6nXafLPZqxe9Of', 'name': 'Various Artists', 'type': 'artist', 'uri': 'spotify:artist:0LyfQWJT6nXafLPZqxe9Of'}]","['AD', 'AE', 'AL', 'AR', 'AT', 'AU', 'BA', 'BE', 'BG', 'BH', 'BO', 'BR', 'BY', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HR', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'KZ', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MD', 'ME', 'MK', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'RS', 'SA', 'SE', 'SG', 'SI', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'UA', 'US', 'UY', 'VN', 'XK', 'ZA']",{'spotify': 'https://open.spotify.com/album/7ayBZIe1FHkNv0T5xFCX6F'},https://api.spotify.com/v1/albums/7ayBZIe1FHkNv0T5xFCX6F,7ayBZIe1FHkNv0T5xFCX6F,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273128057b40732c042c86de1dd', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02128057b40732c042c86de1dd', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851128057b40732c042c86de1dd', 'width': 64}]",The Greatest Showman (Original Motion Picture Soundtrack),2017-12-08,day,11,album,spotify:album:7ayBZIe1FHkNv0T5xFCX6F,The Greatest Showman ,"[0.4, 0.0998, 0.102, 0.235, 0.31, 0.227, 0.1, 0.284, 0.191, 0.133, 0.0834]","[0.824, 0.312, 0.139, 0.77, 0.795, 0.394, 0.704, 0.619, 0.331, 0.0541, 0.518]","['Biography', 'Drama', 'Musical']"
compilation,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0LyfQWJT6nXafLPZqxe9Of'}, 'href': 'https://api.spotify.com/v1/artists/0LyfQWJT6nXafLPZqxe9Of', 'id': '0LyfQWJT6nXafLPZqxe9Of', 'name': 'Various Artists', 'type': 'artist', 'uri': 'spotify:artist:0LyfQWJT6nXafLPZqxe9Of'}]","['AD', 'AE', 'AL', 'AR', 'AT', 'AU', 'BA', 'BE', 'BG', 'BH', 'BO', 'BR', 'BY', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HR', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'KZ', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MD', 'ME', 'MK', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'RS', 'RU', 'SA', 'SE', 'SG', 'SI', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'UA', 'US', 'UY', 'VN', 'XK', 'ZA']",{'spotify': 'https://open.spotify.com/album/7lZs5r4oQV2nutddffLrg0'},https://api.spotify.com/v1/albums/7lZs5r4oQV2nutddffLrg0,7lZs5r4oQV2nutddffLrg0,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2734b1899123e484c034e31164e', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e024b1899123e484c034e31164e', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048514b1899123e484c034e31164e', 'width': 64}]",Frozen (Original Motion Picture Soundtrack / Deluxe Edition),2013-01-01,day,59,album,spotify:album:7lZs5r4oQV2nutddffLrg0,Frozen ,"[0.191, 0.166, 0.43, 0.537, 0.371, 0.409, 0.684, 0.389, 0.707, 0.215, 0.195, 0.13, 0.0809, 0.242, 0.0554, 0.18, 0.034, 0.038, 0.0813, 0.0366, 0.0331, 0.0377, 0.139, 0.0345, 0.0395, 0.0726, 0.034, 0.0354, 0.0396, 0.0392, 0.0381, 0.071, 0.522, 0.581, 0.184, 0.461, 0.303, 0.494, 0.601, 0.453, 0.355, 0.0961, 0.0356, 0.193, 0.0309, 0.157, 0.0319, 0.183, 0.0374, 0.186]","[0.481, 0.121, 0.411, 0.637, 0.485, 0.233, 0.342, 0.338, 0.53, 0.624, 0.145, 0.173, 0.116, 0.22, 0.0757, 0.156, 0.29, 0.323, 0.11, 0.429, 0.058, 0.0918, 0.261, 0.116, 0.154, 0.576, 0.362, 0.108, 0.0469, 0.322, 0.151, 0.114, 0.261, 0.569, 0.392, 0.32, 0.349, 0.186, 0.579, 0.128, 0.384, 0.131, 0.192, 0.00975, 0.0189, 0.0163, 0.199, 0.0377, 0.0327, 0.403]","['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical']"
album,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/05S6yFOzexsgurWstJlBqK'}, 'href': 'https://api.spotify.com/v1/artists/05S6yFOzexsgurWstJlBqK', 'id': '05S6yFOzexsgurWstJlBqK', 'name': 'Trolls', 'type': 'artist', 'uri': 'spotify:artist:05S6yFOzexsgurWstJlBqK'}]","['AD', 'AE', 'AR', 'AU', 'BE', 'BH', 'BO', 'BR', 'BY', 'CA', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'KZ', 'LB', 'LT', 'LU', 'LV', 'MA', 'MC', 'MD', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PS', 'PT', 'PY', 'QA', 'RU', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'UA', 'US', 'UY', 'VN', 'ZA']",{'spotify': 'https://open.spotify.com/album/65ayND23IInUPHJKsaAqe7'},https://api.spotify.com/v1/albums/65ayND23IInUPHJKsaAqe7,65ayND23IInUPHJKsaAqe7,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273d965d29d7dcf46ade5a8a7e4', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02d965d29d7dcf46ade5a8a7e4', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851d965d29d7dcf46ade5a8a7e4', 'width': 64}]",TROLLS (Original Motion Picture Soundtrack),2016-09-23,day,13,album,spotify:album:65ayND23IInUPHJKsaAqe7,TROLLS ,"[0.341, 0.7, 0.595, 0.592, 0.567, 0.173, 0.65, 0.711, 0.369, 0.697, 0.962, 0.707, 0.0999]","[0.58, 0.832, 0.82, 0.713, 0.218, 0.178, 0.91, 0.71, 0.183, 0.82, 0.849, 0.626, 0.261]","['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical']"
album,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0eO0NHuHNJI3N6ZBAm9dh6'}, 'href': 'https://api.spotify.com/v1/artists/0eO0NHuHNJI3N6ZBAm9dh6', 'id': '0eO0NHuHNJI3N6ZBAm9dh6', 'name': 'TROLLS World Tour', 'type': 'artist', 'uri': 'spotify:artist:0eO0NHuHNJI3N6ZBAm9dh6'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/05S6yFOzexsgurWstJlBqK'}, 'href': 'https://api.spotify.com/v1/artists/05S6yFOzexsgurWstJlBqK', 'id': '05S6yFOzexsgurWstJlBqK', 'name': 'Trolls', 'type': 'artist', 'uri': 'spotify:artist:05S6yFOzexsgurWstJlBqK'}]",['US'],{'spotify': 'https://open.spotify.com/album/1jOcKmWE1mUEnyt6JdLTr8'},https://api.spotify.com/v1/albums/1jOcKmWE1mUEnyt6JdLTr8,1jOcKmWE1mUEnyt6JdLTr8,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273392c48a03b57ac9dfb296955', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02392c48a03b57ac9dfb296955', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851392c48a03b57ac9dfb296955', 'width': 64}]",TROLLS World Tour (Original Motion Picture Soundtrack),2020-03-13,day,20,album,spotify:album:1jOcKmWE1mUEnyt6JdLTr8,TROLLS World Tour ,"[0.709, 0.415, 0.8, 0.489, 0.783, 0.309, 0.803, 0, 0.723, 0.691, 0.507, 0.769, 0.369, 0.362, 0.677, 0.589, 0.248, 0.611, 0.365, 0.52]","[0.607, 0.632, 0.837, 0.665, 0.612, 0.55, 0.826, 0.882, 0.777, 0.946, 0.368, 0.845, 0.869, 0.554, 0.872, 0.386, 0.191, 0.806, 0.644, 0.535]","['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical']"
compilation,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0LyfQWJT6nXafLPZqxe9Of'}, 'href': 'https://api.spotify.com/v1/artists/0LyfQWJT6nXafLPZqxe9Of', 'id': '0LyfQWJT6nXafLPZqxe9Of', 'name': 'Various Artists', 'type': 'artist', 'uri': 'spotify:artist:0LyfQWJT6nXafLPZqxe9Of'}]","['AD', 'AE', 'AL', 'AR', 'AT', 'AU', 'BA', 'BE', 'BG', 'BH', 'BO', 'BR', 'BY', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HR', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'KZ', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MD', 'ME', 'MK', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'RS', 'RU', 'SA', 'SE', 'SG', 'SI', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'UA', 'US', 'UY', 'VN', 'XK', 'ZA']",{'spotify': 'https://open.spotify.com/album/4WGcPCflN9FNccSu7tE9iS'},https://api.spotify.com/v1/albums/4WGcPCflN9FNccSu7tE9iS,4WGcPCflN9FNccSu7tE9iS,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2739986d69836eac008a927b032', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e029986d69836eac008a927b032', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048519986d69836eac008a927b032', 'width': 64}]",Aladdin (Original Motion Picture Soundtrack),2019-05-22,day,37,album,spotify:album:4WGcPCflN9FNccSu7tE9iS,Aladdin ,"[0.465, 0.539, 0.134, 0.195, 0.665, 0.365, 0.131, 0.189, 0.105, 0.493, 0.23, 0.238, 0.137, 0.0608, 0.107, 0.178, 0.0385, 0.225, 0.0464, 0.036, 0.116, 0.134, 0.253, 0.0367, 0.0352, 0.0362, 0.282, 0.0397, 0.0451, 0.0641, 0.333, 0.0804, 0.0386, 0.0358, 0.173, 0.412]","[0.532, 0.725, 0.103, 0.222, 0.732, 0.765, 0.375, 0.573, 0.414, 0.831, 0.489, 0.202, 0.235, 0.0722, 0.0613, 0.478, 0.101, 0.631, 0.199, 0.285, 0.254, 0.809, 0.242, 0.123, 0.0508, 0.0466, 0.45, 0.477, 0.135, 0.228, 0.918, 0.522, 0.324, 0.113, 0.727, 0.615]","['Adventure', 'Family', 'Fantasy', 'Musical', 'Romance']"
compilation,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0LyfQWJT6nXafLPZqxe9Of'}, 'href': 'https://api.spotify.com/v1/artists/0LyfQWJT6nXafLPZqxe9Of', 'id': '0LyfQWJT6nXafLPZqxe9Of', 'name': 'Various Artists', 'type': 'artist', 'uri': 'spotify:artist:0LyfQWJT6nXafLPZqxe9Of'}]","['AD', 'AE', 'AL', 'AT', 'AU', 'BA', 'BE', 'BG', 'BH', 'BY', 'CA', 'CH', 'CY', 'CZ', 'DE', 'DK', 'DZ', 'EE', 'EG', 'FI', 'FR', 'GB', 'GR', 'HK', 'HR', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'KW', 'KZ', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MD', 'ME', 'MK', 'MT', 'MX', 'MY', 'NL', 'NO', 'NZ', 'OM', 'PH', 'PL', 'PS', 'PT', 'QA', 'RO', 'RS', 'RU', 'SA', 'SE', 'SG', 'SI', 'SK', 'TH', 'TN', 'TR', 'TW', 'UA', 'US', 'VN', 'XK', 'ZA']",{'spotify': 'https://open.spotify.com/album/7nMexBA71PdwPnfqS5Yji5'},https://api.spotify.com/v1/albums/7nMexBA71PdwPnfqS5Yji5,7nMexBA71PdwPnfqS5Yji5,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2731f062b7159e8f230120512bf', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e021f062b7159e8f230120512bf', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048511f062b7159e8f230120512bf', 'width': 64}]",Coco (Original Motion Picture Soundtrack),2017-11-10,day,53,album,spotify:album:7nMexBA71PdwPnfqS5Yji5,Coco ,"[0.61, 0.452, 0.4, 0.636, 0.802, 0.564, 0.272, 0.37, 0.29, 0.701, 0.573, 0.76, 0.495, 0.399, 0.57, 0.828, 0.0807, 0.389, 0.34, 0.444, 0.398, 0.463, 0.811, 0.681, 0.569, 0.738, 0.188, 0.133, 0.0482, 0.074, 0.0399, 0.096, 0.27, 0.0902, 0.559, 0.069, 0.627, 0.0376, 0.157, 0.47, 0.432, 0.0437, 0.0354, 0.0345, 0.0355, 0.0406, 0.0797, 0.0728, 0.0365, 0.0343]","[0.587, 0.316, 0.12, 0.496, 0.985, 0.478, 0.0556, 0.574, 0.0496, 0.408, 0.553, 0.54, 0.308, 0.0947, 0.504, 0.382, 0.132, 0.597, 0.034, 0.371, 0.583, 0.576, 0.851, 0.681, 0.462, 0.496, 0.338, 0.0402, 0.349, 0.0551, 0.248, 0.203, 0.374, 0.173, 0.404, 0.0259, 0.613, 0.313, 0.129, 0.774, 0.579, 0.0811, 0.0359, 0.0221, 0.0167, 0.206, 0.0717, 0.445, 0.206, 0.214]","['Animation', 'Adventure', 'Family', 'Fantasy', 'Music', 'Mystery']"
compilation,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0LyfQWJT6nXafLPZqxe9Of'}, 'href': 'https://api.spotify.com/v1/artists/0LyfQWJT6nXafLPZqxe9Of', 'id': '0LyfQWJT6nXafLPZqxe9Of', 'name': 'Various Artists', 'type': 'artist', 'uri': 'spotify:artist:0LyfQWJT6nXafLPZqxe9Of'}]","['AD', 'AE', 'AL', 'AR', 'AU', 'BA', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'GB', 'GR', 'GT', 'HK', 'HN', 'HR', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'KZ', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MD', 'ME', 'MK', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'RS', 'RU', 'SA', 'SE', 'SG', 'SI', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'UA', 'US', 'UY', 'VN', 'XK', 'ZA']",{'spotify': 'https://open.spotify.com/album/4w0N1CaZwQ5RPIuawqlYyy'},https://api.spotify.com/v1/albums/4w0N1CaZwQ5RPIuawqlYyy,4w0N1CaZwQ5RPIuawqlYyy,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2736cd9798b6ace10ff98d1abdd', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e026cd9798b6ace10ff98d1abdd', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048516cd9798b6ace10ff98d1abdd', 'width': 64}]",Fifty Shades Freed (Original Motion Picture Soundtrack),2018-02-09,day,22,album,spotify:album:4w0N1CaZwQ5RPIuawqlYyy,Fifty Shades Freed ,"[0.459, 0.2, 0.291, 0.686, 0.245, 0.865, 0.0753, 0.659, 0.892, 0.552, 0.831, 0.805, 0.257, 0.16, 0.0659, 0.28, 0.324, 0.0649, 0.0762, 0.237, 0.588, 0.0881]","[0.814, 0.787, 0.469, 0.552, 0.371, 0.739, 0.6, 0.912, 0.559, 0.614, 0.706, 0.608, 0.534, 0.718, 0.378, 0.466, 0.597, 0.138, 0.248, 0.212, 0.607, 0.779]","['Drama', 'Romance', 'Thriller']"
compilation,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0LyfQWJT6nXafLPZqxe9Of'}, 'href': 'https://api.spotify.com/v1/artists/0LyfQWJT6nXafLPZqxe9Of', 'id': '0LyfQWJT6nXafLPZqxe9Of', 'name': 'Various Artists', 'type': 'artist', 'uri': 'spotify:artist:0LyfQWJT6nXafLPZqxe9Of'}]","['AE', 'AL', 'BA', 'BE', 'BG', 'BH', 'BR', 'CA', 'CH', 'CZ', 'DK', 'DZ', 'EE', 'EG', 'FI', 'GR', 'HR', 'HU', 'IE', 'IL', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LT', 'LU', 'LV', 'MA', 'ME', 'MK', 'MY', 'NL', 'NO', 'OM', 'PH', 'PL', 'PT', 'QA', 'RO', 'RS', 'RU', 'SA', 'SE', 'SI', 'SK', 'TN', 'TR', 'TW', 'UA', 'US', 'XK', 'ZA']",{'spotify': 'https://open.spotify.com/album/2PDlvc7K51qC4Bkali3q0R'},https://api.spotify.com/v1/albums/2PDlvc7K51qC4Bkali3q0R,2PDlvc7K51qC4Bkali3q0R,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2738cdc3315bbb5331eddf6a21d', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e028cdc3315bbb5331eddf6a21d', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048518cdc3315bbb5331eddf6a21d', 'width': 64}]",The Twilight Saga: New Moon (Original Motion Picture Soundtrack),2009-10-09,day,15,album,spotify:album:2PDlvc7K51qC4Bkali3q0R,The Twilight Saga: New Moon ,"[0.496, 0.336, 0.119, 0.0772, 0.159, 0.138, 0.873, 0.121, 0.245, 0.636, 0.695, 0.516, 0.406, 0.256, 0.105]","[0.892, 0.614, 0.736, 0.311, 0.561, 0.393, 0.773, 0.277, 0.538, 0.955, 0.653, 0.795, 0.513, 0.506, 0.0844]","['Adventure', 'Drama', 'Fantasy', 'Romance']"
